"noc_title","2.C.3.a - Comp and Elec","2.C.3.b - Eng and Tech","2.C.9.a - Telco","2.B.3.b - Tech Design","2.B.3.e - Programming","4.A.3.b.1 - Inter w Comp","Rank - Tech Design","Rank - Programming","Rank - Comp and Elec","Rank - Inter w Comp","Rank - Eng and Tech","Rank - Telco","harm.rank","harm.rank.digital","harm.rank.no.tel","tech","digital","tech.no.tel","noc_code","noc_name"
"7514 Delivery and courier service drivers",3.2868,0.611,2.2066,0.5244,0,4.5269,406,446,419,397,451,266.5,386.141105974854,368.020172511708,423.727251590053,0,NA,NA,"7514"," Delivery and courier service drivers"
"7521 Heavy equipment operators (except crane)",3.287856,7.83144,1.544076,1.300576,0.081776,2.561064,276,404,417,447,136,353,288.075679225193,403.287522684326,277.731465539605,0,NA,NA,"7521"," Heavy equipment operators (except crane)"
"7522 Public works maintenance equipment operators and related workers",2.878725,7.541475,3.52495,0.5069,0.0636,4.9078,421,405.5,441,384,143,134,249.569588805027,271.604840219457,300.589456029335,0,NA,NA,"7522"," Public works maintenance equipment operators and related workers"
"7531 Railway yard and track maintenance workers",3.1616,11.0032,4.2064,1.3125,0,3.4112,262.5,446,434,428,86,92,182.320963198558,227.018910545865,225.669360231398,0,NA,NA,"7531"," Railway yard and track maintenance workers"
"7532 Water transport deck and engine room crew",2.6425,5.1429,2.881,2.5944,0,5.3124,91,446,447,374,203,195,214.21293691567,326.851145011469,218.26939271167,0,NA,NA,"7532"," Water transport deck and engine room crew"
"7533 Boat and cable ferry operators and related occupations",8.12026666666667,6.85751111111111,8.06404444444444,1.31957777777778,0.898333333333333,8.74027777777778,247.5,228.5,291.5,285.5,164.5,30.5,113.039106152403,92.9961462782327,234.379274876931,0,NA,NA,"7533"," Boat and cable ferry operators and related occupations"
"7534 Air transport ramp attendants",10.1664,3.8988,4.11,0.3125,0.3125,11.5276,439.5,344.5,216.5,223,245,97,210.558729184355,180.501957424661,273.350545575944,0,NA,NA,"7534"," Air transport ramp attendants"
"7535 Other automotive mechanical installers and servicers",8.3447,9.24071111111111,2.9747,1.39166666666667,0.572222222222222,7.9776,240,290,284,315,105,184,206.196193755552,257.812352127952,211.031949529431,0,NA,NA,"7535"," Other automotive mechanical installers and servicers"
"7611 Construction trades helpers and labourers",2.755,8.8501,4.12816666666667,1.05333333333333,0.0416,3.44,317,407.5,444,426,119,95,207.384650161838,229.176999736646,270.050154236352,0,NA,NA,"7611"," Construction trades helpers and labourers"
"7612 Other trades helpers and labourers",4.62,5.4033,1.81,1.4256,0.8556,7.2624,237.5,235,380,337,197,307,268.929615580088,306.107771892494,262.275584470213,0,NA,NA,"7612"," Other trades helpers and labourers"
"7621 Public works and maintenance labourers",2.8608,4.9842,2.8595,0.1344,0,2.187,461.5,446,442,453,211,198.5,322.775167476194,341.598674545364,368.289961093888,0,NA,NA,"7621"," Public works and maintenance labourers"
"7622 Railway and motor transport labourers",4.1,2.59,3.675,0,0,4.6631,475,446,392,393,315,124,291.472475880537,261.101091614255,397.294137958606,0,NA,NA,"7622"," Railway and motor transport labourers"
"8211 Supervisors, logging and forestry",6.4446,9.3573,3.055575,2.34375,0.3125,6.64405,109.5,344.5,345,353,101,177,181.372658977039,281.148322462939,182.062585960096,0,NA,NA,"8211"," Supervisors, logging and forestry"
"8221 Supervisors, mining and quarrying",8.7843,9.1485,3.795,1.88,0.3125,7.7283,158.5,344.5,265,327,111,114,178.590823381729,217.412724655928,200.797576851353,0,NA,NA,"8221"," Supervisors, mining and quarrying"
"8222 Contractors and supervisors, oil and gas drilling and services",8.7843,9.1485,3.795,1.88,0.3125,7.7283,158.5,344.5,265,327,111,114,178.590823381729,217.412724655928,200.797576851353,0,NA,NA,"8222"," Contractors and supervisors, oil and gas drilling and services"
"8231 Underground production and development miners",3.3316703125,8.4765625,2.249340625,1.0058375,0.1203125,2.36346875,322,400,413,450,126,264,274.347226892802,366.968964628684,276.296362583917,0,NA,NA,"8231"," Underground production and development miners"
"8232 Oil and gas well drillers, servicers, testers and related workers",8.4064,15.9064,1.5575,0.69,1.54,3.33,387,109.5,281.5,430,38,351,130.52263938655,225.343334185084,115.933620987326,0,NA,NA,"8232"," Oil and gas well drillers, servicers, testers and related workers"
"8241 Logging machinery operators",1.4602,3.54,0.496,0.3125,0,5.8804,439.5,446,468,370,268,463,394.541063834791,433.843110550208,383.072190211277,0,NA,NA,"8241"," Logging machinery operators"
"8252 Agricultural service contractors, farm supervisors and specialized livestock workers",8.09804444444445,8.77077777777778,2.11373333333333,1.1875,1.08222222222222,9.59944444444444,298,173,295,265,120,277,213.591769662732,242.688616908192,204.132893116501,0,NA,NA,"8252"," Agricultural service contractors, farm supervisors and specialized livestock workers"
"8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",8.29153333333333,6.31496666666667,2.79706666666667,0.923611111111111,1.17542222222222,7.87043333333333,350,156,286,320,176,204,227.740447057458,224.126539675554,232.90769097541,0,NA,NA,"8255"," Contractors and supervisors, landscaping, grounds maintenance and horticulture services"
"8261 Fishing masters and officers",8.9072,5.7311,6.5754,0,0,3.6869,475,446,259,417,191,44,157.865528808003,130.30225516786,316.760257610559,0,NA,NA,"8261"," Fishing masters and officers"
"8262 Fishermen/women",8.9072,5.7311,6.5754,0,0,3.6869,475,446,259,417,191,44,157.865528808003,130.30225516786,316.760257610559,0,NA,NA,"8262"," Fishermen/women"
"8411 Underground mine service and support workers",3.2754,7.3216,1.5744,1.75,0,4.4863,178.5,446,420.5,402.5,150.5,349.5,271.337430535083,402.374107862938,259.610506290821,0,NA,NA,"8411"," Underground mine service and support workers"
"8412 Oil and gas well drilling and related workers and services operators",3.3066,4.906,0.6528,0.1344,0,5.4934,461.5,446,415,372,213,447,366.095862599345,418.668835948627,353.181993611749,0,NA,NA,"8412"," Oil and gas well drilling and related workers and services operators"
"8421 Chain saw and skidder operators",0.3872,2.5668,0.2124,0,0,0.2553,475,446,482,483,318,480,438.331051147066,473.224506579859,430.689852278725,0,NA,NA,"8421"," Chain saw and skidder operators"
"8422 Silviculture and forestry workers",12.4362,6.042,3.7625,1.3125,1.0044,11.7012,262.5,194,146,219,186,119,176.718128274204,161.227170317818,195.167338508284,0,NA,NA,"8422"," Silviculture and forestry workers"
"8431 General farm workers",0.85785,1.873125,0.50955,0.2975,0,1.425375,451,446,476,467,354,462,439.256574940437,463.491263899173,434.797147943329,0,NA,NA,"8431"," General farm workers"
"8432 Nursery and greenhouse workers",0.7611,0.9452,0.427,0,0,3.2088,475,446,478,431,425.5,472,454.569385609678,456.944472363988,451.054287242965,0,NA,NA,"8432"," Nursery and greenhouse workers"
"8441 Fishing vessel deckhands",8.9072,5.7311,6.5754,0,0,3.6869,475,446,259,417,191,44,157.865528808003,130.30225516786,316.760257610559,0,NA,NA,"8441"," Fishing vessel deckhands"
"8442 Trappers and hunters",3.971,2.1648,0.805,1.54,0,2.5976,217,446,400,445,338,438,357.398837328601,432.387611565228,344.588442103643,0,NA,NA,"8442"," Trappers and hunters"
"8611 Harvesting labourers",0.2825,0.5705,0.1808,0,0,0.923,475,446,483,474,454,482,469.573542687725,471.75882431575,466.977331010453,0,NA,NA,"8611"," Harvesting labourers"
"8612 Landscaping and grounds maintenance labourers",3.9788,4.6284,0.957,1.0044,0,0.375,330,446,397.5,479.5,221.5,418.5,358.700803801319,434.239694239384,348.596217474571,0,NA,NA,"8612"," Landscaping and grounds maintenance labourers"
"8613 Aquaculture and marine harvest labourers",1.566,3.23,0.9135,0.69,0,2.0068,387,446,466,459,281,425,399.381920514631,449.448556112548,394.452545301467,0,NA,NA,"8613"," Aquaculture and marine harvest labourers"
"8614 Mine labourers",3.2754,7.3216,1.5744,1.75,0,4.4863,178.5,446,420.5,402.5,150.5,349.5,271.337430535083,402.374107862938,259.610506290821,0,NA,NA,"8614"," Mine labourers"
"8615 Oil and gas drilling, servicing and related labourers",2.418125,5.9396,1.771825,1.645,0,2.7936,198,446,450,441,187,312,296.207981737563,403.560900993058,293.063491323279,0,NA,NA,"8615"," Oil and gas drilling, servicing and related labourers"
"9211 Supervisors, mineral and metal processing",10.9263,11.4,1.746,2.1056,0.28,8.708,133.5,371,188,293,72,323,168.536807229479,276.492134831461,153.779379276068,0,NA,NA,"9211"," Supervisors, mineral and metal processing"
"9212 Supervisors, petroleum, gas and chemical processing and utilities",10.9263,11.4,1.746,2.1056,0.28,8.708,133.5,371,188,293,72,323,168.536807229479,276.492134831461,153.779379276068,0,NA,NA,"9212"," Supervisors, petroleum, gas and chemical processing and utilities"
"9213 Supervisors, food, beverage and associated products processing",10.9263,11.4,1.746,2.1056,0.28,8.708,133.5,371,188,293,72,323,168.536807229479,276.492134831461,153.779379276068,0,NA,NA,"9213"," Supervisors, food, beverage and associated products processing"
"9214 Supervisors, plastic and rubber products manufacturing",10.9263,11.4,1.746,2.1056,0.28,8.708,133.5,371,188,293,72,323,168.536807229479,276.492134831461,153.779379276068,0,NA,NA,"9214"," Supervisors, plastic and rubber products manufacturing"
"9215 Supervisors, forest products processing",10.9263,11.4,1.746,2.1056,0.28,8.708,133.5,371,188,293,72,323,168.536807229479,276.492134831461,153.779379276068,0,NA,NA,"9215"," Supervisors, forest products processing"
"9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing",10.9263,11.4,1.746,2.1056,0.28,8.708,133.5,371,188,293,72,323,168.536807229479,276.492134831461,153.779379276068,0,NA,NA,"9217"," Supervisors, textile, fabric, fur and leather products processing and manufacturing"
"9221 Supervisors, motor vehicle assembling",10.9263,11.4,1.746,2.1056,0.28,8.708,133.5,371,188,293,72,323,168.536807229479,276.492134831461,153.779379276068,0,NA,NA,"9221"," Supervisors, motor vehicle assembling"
"9222 Supervisors, electronics manufacturing",10.9263,11.4,1.746,2.1056,0.28,8.708,133.5,371,188,293,72,323,168.536807229479,276.492134831461,153.779379276068,0,NA,NA,"9222"," Supervisors, electronics manufacturing"
"9223 Supervisors, electrical products manufacturing",10.9263,11.4,1.746,2.1056,0.28,8.708,133.5,371,188,293,72,323,168.536807229479,276.492134831461,153.779379276068,0,NA,NA,"9223"," Supervisors, electrical products manufacturing"
"9224 Supervisors, furniture and fixtures manufacturing",10.9263,11.4,1.746,2.1056,0.28,8.708,133.5,371,188,293,72,323,168.536807229479,276.492134831461,153.779379276068,0,NA,NA,"9224"," Supervisors, furniture and fixtures manufacturing"
"9226 Supervisors, other mechanical and metal products manufacturing",10.9263,11.4,1.746,2.1056,0.28,8.708,133.5,371,188,293,72,323,168.536807229479,276.492134831461,153.779379276068,0,NA,NA,"9226"," Supervisors, other mechanical and metal products manufacturing"
"9227 Supervisors, other products manufacturing and assembly",10.9263,11.4,1.746,2.1056,0.28,8.708,133.5,371,188,293,72,323,168.536807229479,276.492134831461,153.779379276068,0,NA,NA,"9227"," Supervisors, other products manufacturing and assembly"
"9231 Central control and process operators, mineral and metal processing",5.1754,7.54,3.1768,0.3125,0,5.2428,439.5,446,369.5,377.5,144.5,164.5,263.579904802787,293.675065897245,299.021609989145,0,NA,NA,"9231"," Central control and process operators, mineral and metal processing"
"9232 Petroleum, gas and chemical process operators",8.42422222222222,8.30822222222222,3.73988888888889,1.58861111111111,1.065,9.31146666666667,206,177,279,270,127,120,177.581392834781,189.179806038728,195.902803554358,0,NA,NA,"9232"," Petroleum, gas and chemical process operators"
"9235 Pulping, papermaking and coating control operators",3.43647777777778,4.72977777777778,0.994133333333333,0.930844444444444,0.3741,7.72941111111111,341,326,410,323,217,414,324.35264156072,364.05826390188,310.77623446669,0,NA,NA,"9235"," Pulping, papermaking and coating control operators"
"9241 Power engineers and power systems operators",6.0237125,6.9695609375,1.7772890625,1.038759375,1.0219921875,10.430834375,318,182,351,243,160,310,240.334920487378,256.095313273997,229.887943136427,0,NA,NA,"9241"," Power engineers and power systems operators"
"9243 Water and waste treatment plant operators",12.9846,12.5172,3.195,1.54,1.0044,13.186,217,194,124,187,57,160,129.068148829488,162.215643858078,124.143751564033,0,NA,NA,"9243"," Water and waste treatment plant operators"
"9411 Machine operators, mineral and metal processing",5.1754,7.54,3.1768,0.3125,0,5.2428,439.5,446,369.5,377.5,144.5,164.5,263.579904802787,293.675065897245,299.021609989145,0,NA,NA,"9411"," Machine operators, mineral and metal processing"
"9412 Foundry workers",3.43915,5.198175,1.267325,0.8064,0,2.85645,360,446,409,439,201,385,347.621748737731,419.306475953066,340.844029664311,0,NA,NA,"9412"," Foundry workers"
"9413 Glass forming and finishing machine operators and glass cutters",7.11395625,10.2009375,1.2874,1.3508625,0.31625625,6.9774,245,328,320,340,94,384,228.344486057447,342.327052574344,211.160363814508,0,NA,NA,"9413"," Glass forming and finishing machine operators and glass cutters"
"9414 Concrete, clay and stone forming operators",5.610792,6.485184,1.149804,1.3838,0.3065,6.865608,241,362,357,341,172,401,287.463238765166,364.974964953582,271.965691750211,0,NA,NA,"9414"," Concrete, clay and stone forming operators"
"9415 Inspectors and testers, mineral and metal processing",6.9133,3.6337,0.5628,0.5244,0.75,9.2018,406,256,325,274,258,453,313.880610857068,312.560019962854,295.632237081384,0,NA,NA,"9415"," Inspectors and testers, mineral and metal processing"
"9416 Metalworking and forging machine operators",6.766542,7.813647,1.217574,1.599576,0.941976,7.919856,204,207,335,319,137,394,234.696296061045,297.607348074041,217.076935644099,0,NA,NA,"9416"," Metalworking and forging machine operators"
"9417 Machining tool operators",4.555725,5.783625,0.483,1.697025,1.015625,9.386125,185,185,381,269,189,465,245.065268099115,288.938601437983,223.840330969755,0,NA,NA,"9417"," Machining tool operators"
"9418 Other metal products machine operators",8.4732,5.3592,1.7622,0.3125,1.0044,6.1912,439.5,194,276,363,198,314,273.280758918157,272.848144083467,266.228782560959,0,NA,NA,"9418"," Other metal products machine operators"
"9421 Chemical plant machine operators",10.80905,8.0907,2.174475,0.515625,1.36485,9.65455,419.5,126,197,264,130,271,197.457501907428,196.32310103478,187.197104966334,0,NA,NA,"9421"," Chemical plant machine operators"
"9422 Plastics processing machine operators",6.23076272189349,7.47865562130178,1.25889408284024,1.36177218934911,0.891465680473373,7.9345349112426,244,230,349,318,146,388,252.355409121766,310.278659040806,235.790140590116,0,NA,NA,"9422"," Plastics processing machine operators"
"9423 Rubber processing machine operators and related workers",5.39406875,5.62573125,1.63544375,1.149375,0.39140625,6.74135,302,322,363,344,193,341,298.199997414404,342.883927609116,290.752648435889,0,NA,NA,"9423"," Rubber processing machine operators and related workers"
"9431 Sawmill machine operators",2.0709,3.64,1.6199,0.5244,0.1344,2.2968,406,394,454,451,254,342,369.552333716867,405.791083385314,375.36387119395,0,NA,NA,"9431"," Sawmill machine operators"
"9432 Pulp mill machine operators",6.6048,6.1992,1.9012,1.6544,1.3125,9.1266,193.5,135.5,341,279,178,295,214.839915042215,232.560966989468,203.671024724589,0,NA,NA,"9432"," Pulp mill machine operators"
"9433 Papermaking and finishing machine operators",3.2712,4.0053,0.9966,1.6544,0,4.4969,193.5,446,422.5,399,243.5,411.5,319.93137765392,420.050965748937,306.189074245286,0,NA,NA,"9433"," Papermaking and finishing machine operators"
"9434 Other wood processing machine operators",2.4495,3.3034,0.7896,1.4344,0.8897,2.5536,234,231,449,448,279,441,318.320461431224,362.90455074336,301.450224050234,0,NA,NA,"9434"," Other wood processing machine operators"
"9435 Paper converting machine operators",3.2712,4.0053,0.9966,1.6544,0,4.4969,193.5,446,422.5,399,243.5,411.5,319.93137765392,420.050965748937,306.189074245286,0,NA,NA,"9435"," Paper converting machine operators"
"9436 Lumber graders and other wood processing inspectors and graders",5.825,3.0492,0.96,0.5244,0.75,11.2992,406,256,355,226,292,417,309.795070661315,296.347439522028,294.545649061453,0,NA,NA,"9436"," Lumber graders and other wood processing inspectors and graders"
"9437 Woodworking machine operators",3.12795,4.550125,0.478125,1.63,0.77,3.663,200,240,435,421,225,466,294.78445840861,365.165029280612,274.536312880069,0,NA,NA,"9437"," Woodworking machine operators"
"9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",4.4555,2.46135,0.730275,1.21875,0.3875,3.696,285.5,323.5,382,415,325,446,355.208265351581,387.08630631003,341.195329706095,0,NA,NA,"9441"," Textile fibre and yarn, hide and pelt processing machine operators and workers"
"9442 Weavers, knitters and other fabric making occupations",1.6471,1.3072,0.5289,0.28,0,1.5322,452,446,463,465,390,458,445.040101307778,458.879737224371,442.349402897749,0,NA,NA,"9442"," Weavers, knitters and other fabric making occupations"
"9445 Fabric, fur and leather cutters",6.1335,2.831,1.292,1.75,0.93,5.1948,178.5,217.5,350,381,303,383,278.964229090454,316.264796327134,264.494745005468,0,NA,NA,"9445"," Fabric, fur and leather cutters"
"9446 Industrial sewing machine operators",2.1252,0.3509,0.492,0,0,2.5668,475,446,452,446,472,464,459.864507865457,452.882342755725,458.850991453613,0,NA,NA,"9446"," Industrial sewing machine operators"
"9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing",6.9133,3.6337,0.5628,0.5244,0.75,9.2018,406,256,325,274,258,453,313.880610857068,312.560019962854,295.632237081384,0,NA,NA,"9447"," Inspectors and graders, textile, fabric, fur and leather products manufacturing"
"9461 Process control and machine operators, food, beverage and associated products processing",4.1488125,3.79725,0.8651875,1.07415,0.57355625,8.30775,315,289,390,309,247,434,320.388008298751,346.906704388447,304.350222035659,0,NA,NA,"9461"," Process control and machine operators, food, beverage and associated products processing"
"9462 Industrial butchers and meat cutters, poultry preparers and related workers",3.0051,1.5345,0.462,0.69,0.1344,5.95,387,394,437.5,368.5,375,467.5,402.958440281343,414.37985342721,391.990803709106,0,NA,NA,"9462"," Industrial butchers and meat cutters, poultry preparers and related workers"
"9463 Fish and seafood plant workers",4.88424444444444,4.05804444444444,0.8855,1.19126666666667,0.6716,7.77295555555555,295,282,375,322,241,430,313.808942814218,344.551225835167,297.623859413573,0,NA,NA,"9463"," Fish and seafood plant workers"
"9465 Testers and graders, food, beverage and associated products processing",6.9133,3.6337,0.5628,0.5244,0.75,9.2018,406,256,325,274,258,453,313.880610857068,312.560019962854,295.632237081384,0,NA,NA,"9465"," Testers and graders, food, beverage and associated products processing"
"9471 Plateless printing equipment operators",9.1809,1.5345,2.6108,1.3125,1.54,12.4488,262.5,109.5,246,204,375,220,207.211418107733,177.767566730342,204.657627647377,0,NA,NA,"9471"," Plateless printing equipment operators"
"9472 Camera, platemaking and other prepress occupations",19.16,4.2218,2.0349,1.75,1.54,19.642,178.5,109.5,28,36,236,284,71.5488661483361,54.0041867826878,62.2277540995065,0,NA,NA,"9472"," Camera, platemaking and other prepress occupations"
"9473 Binding and finishing machine operators",5.5692,2.6752,0.7952,1.62,1.4256,6.509,202,120,358,354,312,440,247.367088732877,247.916675066542,227.398043316204,0,NA,NA,"9473"," Binding and finishing machine operators"
"9474 Photographic and film processors",15.133,2.538,0.8967,3,3.8556,14.9699,65,38,74,141,320,428,90.0706224265771,82.7341744645598,77.7805870204524,0,NA,NA,"9474"," Photographic and film processors"
"9521 Aircraft assemblers and aircraft assembly inspectors",5.43083333333333,7.26506666666667,2.4605,1.19,0.666666666666667,6.48433333333333,297,283,360,355,153,238,259.364010845287,301.107343812133,263.860460450523,0,NA,NA,"9521"," Aircraft assemblers and aircraft assembly inspectors"
"9522 Motor vehicle assemblers, inspectors and testers",6.579225,6.18715,0.45325,1.1247,1.015625,7.55825,307,185,342.5,331.5,179.5,469.5,270.180344048724,298.052164725343,248.979303294252,0,NA,NA,"9522"," Motor vehicle assemblers, inspectors and testers"
"9523 Electronics assemblers, fabricators, inspectors and testers",7.80735555555555,4.18965555555556,0.7392,1.15493333333333,0.728333333333333,9.40403333333333,301,271,306,268,237,445,294.025935264449,310.235663481358,275.266572103721,0,NA,NA,"9523"," Electronics assemblers, fabricators, inspectors and testers"
"9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",5.79605,3.42845,0.433825,0.884225,0.515625,8.0712,353,313.5,356,313,274,471,338.116736099196,354.480200315916,319.965055600069,0,NA,NA,"9524"," Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing"
"9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",8.927,6.11275,1.50255,1.1247,0.75,8.790275,307,256,256,284,183,361,263.91212907376,284.630574393684,250.345364541113,0,NA,NA,"9525"," Assemblers, fabricators and inspectors, industrial electrical motors and transformers"
"9526 Mechanical assemblers and inspectors",6.579225,6.18715,0.45325,1.1247,1.015625,7.55825,307,185,342.5,331.5,179.5,469.5,270.180344048724,298.052164725343,248.979303294252,0,NA,NA,"9526"," Mechanical assemblers and inspectors"
"9527 Machine operators and inspectors, electrical apparatus manufacturing",6.9133,3.6337,0.5628,0.5244,0.75,9.2018,406,256,325,274,258,453,313.880610857068,312.560019962854,295.632237081384,0,NA,NA,"9527"," Machine operators and inspectors, electrical apparatus manufacturing"
"9531 Boat assemblers and inspectors",4.136325,6.6443,2.5239,0.3125,0.3125,4.6116,439.5,344.5,391,396,171,231,294.714096712176,325.875856377178,311.558137365819,0,NA,NA,"9531"," Boat assemblers and inspectors"
"9532 Furniture and fixture assemblers and inspectors",6.9133,3.6337,0.5628,0.5244,0.75,9.2018,406,256,325,274,258,453,313.880610857068,312.560019962854,295.632237081384,0,NA,NA,"9532"," Furniture and fixture assemblers and inspectors"
"9534 Furniture finishers and refinishers",1.488,3.2064,0.896,1.125,0.1344,6.171,304,394,467,365,282,429,362.790359208182,411.259481035808,351.793198959317,0,NA,NA,"9534"," Furniture finishers and refinishers"
"9535 Plastic products assemblers, finishers and inspectors",6.9133,3.6337,0.5628,0.5244,0.75,9.2018,406,256,325,274,258,453,313.880610857068,312.560019962854,295.632237081384,0,NA,NA,"9535"," Plastic products assemblers, finishers and inspectors"
"9536 Industrial painters, coaters and metal finishing process operators",2.7208,2.106,0.2751,0.75,0.8556,7.4493,371,235,445,334,341,477,349.472882407891,346.123597140406,331.638354465449,0,NA,NA,"9536"," Industrial painters, coaters and metal finishing process operators"
"9537 Other products assemblers, finishers and inspectors",6.62222222222222,7.02466666666666,0.965066666666667,1.74444444444444,0.973333333333333,8.26985555555556,184,205,337,311,159,416,239.314946997785,298.14793735632,220.52192541261,0,NA,NA,"9537"," Other products assemblers, finishers and inspectors"
"9611 Labourers in mineral and metal processing",3.2522,3.168,1.4151,0.3125,0.3125,6.681,439.5,344.5,427.5,348.5,286.5,372.5,363.304034630989,371.516402385544,361.331278964557,0,NA,NA,"9611"," Labourers in mineral and metal processing"
"9612 Labourers in metal fabrication",3.2522,3.168,1.4151,0.3125,0.3125,6.681,439.5,344.5,427.5,348.5,286.5,372.5,363.304034630989,371.516402385544,361.331278964557,0,NA,NA,"9612"," Labourers in metal fabrication"
"9613 Labourers in chemical products processing and utilities",3.2522,3.168,1.4151,0.3125,0.3125,6.681,439.5,344.5,427.5,348.5,286.5,372.5,363.304034630989,371.516402385544,361.331278964557,0,NA,NA,"9613"," Labourers in chemical products processing and utilities"
"9614 Labourers in wood, pulp and paper processing",3.2522,3.168,1.4151,0.3125,0.3125,6.681,439.5,344.5,427.5,348.5,286.5,372.5,363.304034630989,371.516402385544,361.331278964557,0,NA,NA,"9614"," Labourers in wood, pulp and paper processing"
"9615 Labourers in rubber and plastic products manufacturing",3.2522,3.168,1.4151,0.3125,0.3125,6.681,439.5,344.5,427.5,348.5,286.5,372.5,363.304034630989,371.516402385544,361.331278964557,0,NA,NA,"9615"," Labourers in rubber and plastic products manufacturing"
"9616 Labourers in textile processing",3.2522,3.168,1.4151,0.3125,0.3125,6.681,439.5,344.5,427.5,348.5,286.5,372.5,363.304034630989,371.516402385544,361.331278964557,0,NA,NA,"9616"," Labourers in textile processing"
"9617 Labourers in food, beverage and associated products processing",3.2522,3.168,1.4151,0.3125,0.3125,6.681,439.5,344.5,427.5,348.5,286.5,372.5,363.304034630989,371.516402385544,361.331278964557,0,NA,NA,"9617"," Labourers in food, beverage and associated products processing"
"9618 Labourers in fish and seafood processing",3.2522,3.168,1.4151,0.3125,0.3125,6.681,439.5,344.5,427.5,348.5,286.5,372.5,363.304034630989,371.516402385544,361.331278964557,0,NA,NA,"9618"," Labourers in fish and seafood processing"
"9619 Other labourers in processing, manufacturing and utilities",2.907,4.6332,1.5216,1.072025,0.140625,4.90105,316,386,440,387,220,360,335.600187218649,392.1970162435,330.94318175721,0,NA,NA,"9619"," Other labourers in processing, manufacturing and utilities"
